,0
1,5413.751697312147
2,7941.991269841261
3,4233.971205357101
4,6618.085236674018
5,9121.771761796224
6,15242.179500178358
7,13331.795856072722
8,17229.14914309248
9,18802.13933371962
10,5669.859214077347
11,19155.812305540632
12,9026.242737147872
13,16942.139455125685
14,5438.3047447189565
15,7029.372343474386
16,12614.82259252871
17,11818.69102907309
18,15986.9309496916
19,9438.171706900317
20,12933.318321247054
21,8440.98290372224
22,8630.36882929743
23,19292.682820620008
24,6702.697891349038
25,22686.693739373877
26,23398.952092494565
27,18431.638486816977
28,23080.972005433563
29,11325.768276566403
30,7741.257936507942
31,7403.155885170952
32,17652.07728540251
33,7587.389866474234
34,9705.910511509705
35,12524.606705113521
36,8476.608554344113
37,14694.963316390158
38,14876.992853300999
39,11509.529119437868
40,9870.427293319144
41,9129.06391276534
42,7857.291897656575
43,23179.454158890523
44,9131.923407614597
45,19186.94353273407
46,17744.134193959468
47,8306.630248216235
48,11950.10724841143
49,11493.374009545147
50,16988.250544041282
51,8410.256365740765
52,11178.167017641266
53,9665.308569780216
54,14872.303657517614
55,17604.05792670909
56,19444.233586570164
57,18830.33217668252
58,10019.100007109319
59,8484.048121309756
60,18845.413677063552
61,8481.228202587625
62,5911.735669770508
63,8124.91710337501
64,6331.856992536055
65,8522.619782765516
66,10451.462772092795
67,18102.087198316975
68,7003.155952380936
69,9099.6498392404
70,9652.204139288615
71,8018.949184616709
72,9465.426049126905
73,8273.926252375883
74,11591.558656348796
75,10294.554038383529
76,8248.805449174282
