,0
1,5395.955499753897
2,8930.23769841277
3,5434.0750000000235
4,6130.7072810590125
5,8892.118198166549
6,15989.265506427877
7,13938.577132683284
8,17361.49803987159
9,18970.680361095005
10,6252.9988358090395
11,19561.079859454014
12,8769.98689022604
13,16612.29456552667
14,6168.826781305141
15,8313.525333417056
16,12710.000723313202
17,12515.154873609763
18,15661.97425938682
19,12291.65866675034
20,12612.736257956793
21,7251.262873525945
22,8441.561485065871
23,17659.155620694768
24,6841.797019709411
25,22644.563627339692
26,23381.958828691055
27,17686.635675602407
28,22844.466576091203
29,11238.109149854692
30,7728.746031746033
31,7134.831870893785
32,17923.97021099302
33,6850.096755950721
34,9735.745543269633
35,12528.225098993362
36,8289.05359429909
37,14416.76764254379
38,14545.372447202191
39,11579.09328934879
40,9515.956275397062
41,9138.859418900418
42,7892.383278403272
43,22820.511735693926
44,8948.92091235497
45,19195.92827313768
46,17814.66832301478
47,8530.266666666652
48,11531.245687958319
49,11425.433529320011
50,17157.62391186658
51,7859.624999999965
52,11479.797691077587
53,9793.66775479962
54,15564.392875039815
55,17485.101469813566
56,19176.95410426689
57,18629.836704279387
58,9978.910884811185
59,8837.582271309597
60,19306.850277866848
61,8456.733832462747
62,5964.068488120733
63,7697.849999999994
64,6284.59122287369
65,8599.007681259545
66,10228.023785615087
67,18066.866544930388
68,7026.374999999981
69,8917.78758090204
70,9459.605338982175
71,7862.532517076057
72,9359.108460540432
73,8603.009060198521
74,11607.698094007326
75,10229.766620725528
76,8472.661420429644
