,link_id,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,actual_tt,link_flows,v/c
0,1,1,2,25900,6,6,0.15,4,0,0,1,6.00269489555317,6075.98769841266,23.46%
1,2,1,3,23403,4,4,0.15,4,0,0,1,4.01730683755409,8929.4032450413,38.15%
2,3,2,1,25900,6,6,0.15,4,0,0,1,6.00330381130317,5444.06991170803,21.02%
3,4,2,6,4958,5,5,0.15,4,0,0,1,7.02160863649669,6439.67453273637,129.88%
4,5,3,1,23403,4,4,0.15,4,0,0,1,4.01514411761035,9561.32103174603,40.86%
5,6,3,4,17111,4,4,0.15,4,0,0,1,4.50600596570551,14976.4477739857,87.53%
6,7,3,12,23403,4,4,0.15,4,0,0,1,4.0876294724432,10922.6548219864,46.67%
7,8,4,3,17111,4,4,0.15,4,0,0,1,4.65809657068636,14421.3480759546,84.28%
8,9,4,5,17783,2,2,0.15,4,0,0,1,2.46293171399338,18209.4666867549,102.40%
9,10,4,11,4909,6,6,0.15,4,0,0,1,8.46750236778749,5965.75000000002,121.53%
10,11,5,4,17783,2,2,0.15,4,0,0,1,2.51840430510863,18849.6096625843,106.00%
11,12,5,6,4948,4,4,0.15,4,0,0,1,9.72852350229118,8071.29719147307,163.12%
12,13,5,9,10000,5,5,0.15,4,0,0,1,9.77264929948377,15874.9033163578,158.75%
13,14,6,2,4958,5,5,0.15,4,0,0,1,7.4556786325565,5807.75674603174,117.14%
14,15,6,5,4948,4,4,0.15,4,0,0,1,10.0897186392346,8451.77502809157,170.81%
15,16,6,8,4899,2,2,0.15,4,0,0,1,11.0581424051559,13027.8182232189,265.93%
16,17,7,8,7842,3,3,0.15,4,0,0,1,6.91114885731588,12378.3196721414,157.85%
17,18,7,18,23403,2,2,0.15,4,0,0,1,2.06857208951151,15849.8704866217,67.73%
18,19,8,6,4899,2,2,0.15,4,0,0,1,12.2499745085156,12776.3782731329,260.80%
19,20,8,7,7842,3,3,0.15,4,0,0,1,7.45911910319202,12745.3392857142,162.53%
20,21,8,9,5050,10,10,0.15,4,0,0,1,13.9485839079111,6868.5164119786,136.01%
21,22,8,16,5046,5,5,0.15,4,0,0,1,9.62877609868762,8379.51626904373,166.06%
22,23,9,5,10000,5,5,0.15,4,0,0,1,10.3171507150121,16134.5684555683,161.35%
23,24,9,8,5050,10,10,0.15,4,0,0,1,14.3555423563193,6984.53733153897,138.31%
24,25,9,10,13916,3,3,0.15,4,0,0,1,5.94083695489348,22113.8513892695,158.91%
25,26,10,9,13916,3,3,0.15,4,0,0,1,6.32557391559336,22589.5374480399,162.33%
26,27,10,11,10000,5,5,0.15,4,0,0,1,11.3368421075118,17481.5486343831,174.82%
27,28,10,15,13512,6,6,0.15,4,0,0,1,12.9738243160065,22380.6012166927,165.64%
28,29,10,16,4855,4,4,0.15,4,0,0,1,19.788677651176,11088.0726457741,228.38%
29,30,10,17,4994,8,8,0.15,4,0,0,1,14.3036075194441,7674.41666666664,153.67%
30,31,11,4,4909,6,6,0.15,4,0,0,1,9.63984369706533,4870.50732613991,99.22%
31,32,11,10,10000,5,5,0.15,4,0,0,1,11.9406551958522,17996.5487779596,179.97%
32,33,11,12,4909,6,6,0.15,4,0,0,1,9.03806012029051,10230.0471298538,208.39%
33,34,11,14,4877,4,4,0.15,4,0,0,1,12.8318709116736,9859.39111770761,202.16%
34,35,12,3,23403,4,4,0.15,4,0,0,1,4.05778922092359,12109.6723067221,51.74%
35,36,12,11,4909,6,6,0.15,4,0,0,1,12.6523310871476,8337.62458576456,169.84%
36,37,12,13,25900,3,3,0.15,4,0,0,1,3.04825435670427,14646.2269518401,56.55%
37,38,13,12,25900,3,3,0.15,4,0,0,1,3.04970554955894,14040.8218924866,54.21%
38,39,13,24,5091,4,4,0.15,4,0,0,1,18.3354642798977,11666.7877984009,229.16%
39,40,14,11,4877,4,4,0.15,4,0,0,1,11.7629719468368,11271.5711315134,231.12%
40,41,14,15,5128,5,5,0.15,4,0,0,1,12.0765731477253,8838.92455756141,172.37%
41,42,14,23,4925,4,4,0.15,4,0,0,1,7.9819985184266,7434.15643964445,150.95%
42,43,15,10,13512,6,6,0.15,4,0,0,1,12.7812412492842,22097.2962617139,163.54%
43,44,15,14,5128,5,5,0.15,4,0,0,1,10.8781859231433,9305.3864588212,181.46%
44,45,15,19,14565,3,3,0.15,4,0,0,1,4.32598332806376,19076.3471962934,130.97%
45,46,15,22,9599,3,3,0.15,4,0,0,1,8.3757740743826,17974.7715114133,187.26%
46,47,16,8,5046,5,5,0.15,4,0,0,1,11.6057174620596,8379.07501297005,166.05%
47,48,16,10,4855,4,4,0.15,4,0,0,1,21.4174857831794,11273.1468492798,232.20%
48,49,16,17,5230,2,2,0.15,4,0,0,1,8.57940370470677,11480.6447684989,219.52%
49,50,16,18,19680,3,3,0.15,4,0,0,1,3.26517371671215,17143.6738722938,87.11%
50,51,17,10,4994,8,8,0.15,4,0,0,1,14.5959253125873,7633.3333333333,152.85%
51,52,17,16,5230,2,2,0.15,4,0,0,1,9.21122776512948,11502.743460648,219.94%
52,53,17,19,4824,2,2,0.15,4,0,0,1,6.8915928840798,9881.33020128688,204.84%
53,54,18,7,23403,2,2,0.15,4,0,0,1,2.06127714271806,15482.850873049,66.16%
54,55,18,16,19680,3,3,0.15,4,0,0,1,3.31443131079307,17306.2081275771,87.94%
55,56,18,20,23403,4,4,0.15,4,0,0,1,4.27268119858768,19305.5838458058,82.49%
56,57,19,15,14565,3,3,0.15,4,0,0,1,4.09478647475063,19038.8717018397,130.72%
57,58,19,17,4824,2,2,0.15,4,0,0,1,7.63413338346486,9862.34556010279,204.44%
58,59,19,20,5003,4,4,0.15,4,0,0,1,9.85734597731343,8663.17092269423,173.16%
59,60,20,18,23403,4,4,0.15,4,0,0,1,4.28430780284456,19001.0984875161,81.19%
60,61,20,19,5003,4,4,0.15,4,0,0,1,8.54396292167351,8606.71078705665,172.03%
61,62,20,21,5060,6,6,0.15,4,0,0,1,7.58802711919881,6011.29509710191,118.80%
62,63,20,22,5076,5,5,0.15,4,0,0,1,8.6668654793016,7628.76666666666,150.29%
63,64,21,20,5060,6,6,0.15,4,0,0,1,7.63288978775057,6094.09126984129,120.44%
64,65,21,22,5230,2,2,0.15,4,0,0,1,4.37320864706634,8786.54771735017,168.00%
65,66,21,24,4885,3,3,0.15,4,0,0,1,11.3268147665406,10444.8902623243,213.82%
66,67,22,15,9599,3,3,0.15,4,0,0,1,8.6556284779491,18095.4039521481,188.51%
67,68,22,20,5076,5,5,0.15,4,0,0,1,7.81457475349919,7085.02499999994,139.58%
68,69,22,21,5230,2,2,0.15,4,0,0,1,4.55721621334779,9149.7298667926,174.95%
69,70,22,23,5000,4,4,0.15,4,0,0,1,10.7235265052863,9527.18624910284,190.54%
70,71,23,14,4925,4,4,0.15,4,0,0,1,8.19615070353386,8379.8745521903,170.15%
71,72,23,22,5000,4,4,0.15,4,0,0,1,10.4631872816845,9467.25917261358,189.35%
72,73,23,24,5079,2,2,0.15,4,0,0,1,3.98297933860208,7388.41117950331,145.47%
73,74,24,13,5091,4,4,0.15,4,0,0,1,18.3874825774269,10961.3827390474,215.31%
74,75,24,21,4885,3,3,0.15,4,0,0,1,10.9249216936223,10164.5042856213,208.08%
75,76,24,23,5079,2,2,0.15,4,0,0,1,3.99697479045675,8274.20221555998,162.91%
