,0
1,5356.0220693574
2,7990.687698412674
3,4313.487249865054
4,6506.705153074423
5,9033.222517905017
6,15284.83133509545
7,13416.762869961609
8,17320.075655138528
9,18915.445620809234
10,5543.444047619028
11,19373.46608313673
12,8967.676689805236
13,16928.785708376083
14,5464.170333582058
15,7428.5583333333025
16,12630.10254276842
17,12239.768889932757
18,15857.774770723972
19,10048.449366804301
20,12946.861958242433
21,8216.793562858256
22,8704.429031539783
23,18925.924527175255
24,6781.355113680389
25,22622.994851599222
26,23284.695221220318
27,18271.83781992143
28,23099.563631670924
29,11214.347636228214
30,7728.746031746039
31,7220.6679053351945
32,17707.18604235602
33,7458.1070560929775
34,9727.67682178002
35,12424.05336941083
36,8663.08966665142
37,14429.239506866372
38,14741.512616874215
39,11496.541555459076
40,9735.26629137271
41,9137.975432890991
42,7903.329244665452
43,23141.116819894498
44,9039.624972354633
45,19334.351770255384
46,17855.756139261237
47,8265.307373063226
48,11731.358333333266
49,11443.078715140398
50,16993.123268540494
51,8296.534293603454
52,11260.030859857952
53,9642.043993363786
54,15150.681702414333
55,17254.06016245167
56,19286.54712766774
57,18780.908427696733
58,10026.784399938722
59,8577.641734951776
60,18740.390953268918
61,8408.938798968133
62,5983.831216574651
63,8056.605501893923
64,6436.5941275437135
65,8495.48492123307
66,10477.572699362652
67,18252.402209506676
68,6788.983480542404
69,9122.340430710838
70,9636.173947715437
71,8009.269174794536
72,9392.053506087126
73,8571.989250451323
74,11708.814665466969
75,10303.480100853818
76,8433.808738952177
