,0
1,5315.224668729643
2,8813.62380952391
3,5182.627777777805
4,6201.7650674091465
5,8946.220700475697
6,15739.904212087424
7,14373.582871738234
8,17154.190592178515
9,18778.88130869818
10,6059.177070055816
11,19244.035535059662
12,8816.43737174148
13,16534.330431766728
14,6069.168176457289
15,7428.71666666667
16,12654.734262693382
17,12640.794332275533
18,15795.9888289072
19,11134.41666666661
20,13025.178606328676
21,7700.344332275468
22,8702.41310613594
23,18387.20536320334
24,6837.024116437925
25,22390.2915210056
26,23479.846236604302
27,17988.087384928676
28,23032.682417073385
29,11194.766232681179
30,7728.746031746027
31,7108.309223785456
32,18035.67652076187
33,7139.361404689593
34,9763.665464771488
35,13091.89338259904
36,8477.377157712728
37,14408.453110218608
38,14564.77937410256
39,11466.339807929682
40,9622.37100131164
41,9237.125011277989
42,7777.327640159106
43,22959.976419323197
44,9115.14439566034
45,19181.793902440186
46,17822.75040921419
47,8429.799999999954
48,11783.058841942522
49,11475.655346672069
50,17133.029002929106
51,8155.124999999986
52,11398.220256236189
53,9754.473973260952
54,15411.604554854024
55,17526.143596490463
56,19325.05638426679
57,18598.470048480816
58,10103.41785107903
59,8621.106719092228
60,19233.78670377502
61,8386.72674295119
62,6024.507729681865
63,7760.844047619042
64,6330.568787334577
65,8553.061831533223
66,10295.219314548638
67,18111.387649805474
68,7029.133333333323
69,8882.76663351769
70,9519.76020832576
71,7758.01379231702
72,9406.391536615733
73,8458.890979347785
74,11522.666071813735
75,10271.575570216753
76,8326.208459795716
