,0
1,6058.6326531731975
2,9644.687251984105
3,6375.187251984148
4,6352.804309900756
5,9328.132653173247
6,16397.456519585656
7,14467.592551754778
8,17510.961195411805
9,19820.013606514996
10,6316.795238095234
11,20388.809338570372
12,8697.662533331368
13,15882.708487803107
14,6669.358908711683
15,8831.636491079045
16,14354.79268804315
17,13464.7965550939
18,16181.846038743926
19,14805.321244601662
20,13913.486714082614
21,6432.486836954822
22,7953.320315602801
23,16317.530262110658
24,6592.1810083088685
25,22249.949438601747
26,22944.465384263298
27,17049.15682832918
28,22543.781153546144
29,10996.079249338603
30,7560.499999999992
31,6961.50418186601
32,17441.538926368677
33,6653.980069611121
34,9552.743598473266
35,13037.533277118062
36,8094.2361111111
37,14821.111284845887
38,14931.3080517091
39,11255.588968956297
40,9249.578598783719
41,8987.490631849425
42,7904.851136794875
43,22386.505594209382
44,8580.123327153131
45,19082.790235972825
46,17845.680583170935
47,8692.844859796014
48,11269.321989630522
49,11317.956201115981
50,17242.67270355032
51,7646.6666666666615
52,11580.40313947092
53,9693.69969893271
54,15733.15587975521
55,17992.993049680637
56,19215.315454678042
57,18190.29391534383
58,10042.313303954326
59,8843.372314755889
60,19416.945641819464
61,8299.489599148425
62,5831.823453875266
63,7547.967857142846
64,5872.58224449991
65,8771.126118641048
66,10131.673024673097
67,18073.534039766815
68,7064.956538052327
69,8936.413120225234
70,9148.111979798374
71,8009.053441801758
72,9058.241118887918
73,8143.806506132673
74,11265.78573581956
75,10007.144813713436
76,8158.137950229147
