,0
1,5366.50130170788
2,8810.904365079448
3,5314.741666666682
4,6179.9873300479285
5,8862.664000120645
6,15973.705747988557
7,14057.206465295149
8,17455.271774378984
9,18954.825013385795
10,6253.2944250788
11,19580.54822128846
12,8792.079477580719
13,16649.84533694529
14,6128.227695006729
15,8102.2333496069305
16,12702.305779288628
17,12397.803943452413
18,15766.55756448401
19,11960.700016273428
20,12612.40292462344
21,7461.870593845465
22,8452.674756433767
23,17965.414672821786
24,6860.271901768667
25,22577.44948165008
26,23391.420125449287
27,17860.00538118427
28,22838.555587849554
29,11226.995878486747
30,7728.746031746033
31,7209.137243566605
32,18017.70260090925
33,6864.62644035383
34,9753.111756379125
35,12627.40007394614
36,8277.940322931174
37,14379.502893866545
38,14463.010385094874
39,11567.971397814401
40,9553.337912014986
41,9165.260896181937
42,7814.757866501666
43,22881.42645291028
44,9000.6228023602
45,19185.730917808913
46,17790.027548693026
47,8527.266666666608
48,11609.519469246026
49,11428.076571551985
50,17176.433215960507
51,7859.624999999952
52,11495.606995171442
53,9777.858450705751
54,15551.958583313015
55,17566.01829333321
56,19235.887184214553
57,18639.02362652148
58,9976.267842579256
59,8812.58604497357
60,19310.873280416276
61,8464.288145559553
62,5876.130341732324
63,7820.350000000007
64,6296.793538519875
65,8592.39726020978
66,10209.703805719024
67,18114.967611219436
68,7026.374999999981
69,8968.868041521597
70,9451.386654974402
71,7779.62211595924
72,9358.822498812746
73,8572.162413355614
74,11551.478889042806
75,10253.896221194782
76,8444.46250665151
