,0
1,7681.14189539243
2,11677.333784523073
3,7778.949924266657
4,6808.657661684678
5,11579.525755649116
6,18615.449103849252
7,15856.52957389246
8,19125.667577745684
9,19675.43217179078
10,6421.841541113162
11,19955.346588488388
12,6786.130488223121
13,16903.701730065233
14,6906.465690558868
15,6856.776505510328
16,12476.948149574078
17,14384.7341620221
18,17025.547666997732
19,12645.402195735332
20,14098.644365286915
21,7500.599795498567
22,7687.141938444016
23,17112.970129475376
24,7374.754820823814
25,23409.122049858317
26,23592.545474593706
27,17731.41598845805
28,24322.147649662755
29,11031.461331861825
30,8099.720690114585
31,6752.145598311656
32,17687.93140742595
33,7055.214275616772
34,9851.156760111615
35,15248.50307112296
36,7523.565035162419
37,15579.414984110525
38,15539.7392408864
39,10790.560597850475
40,9769.625476732494
41,9027.233858155825
42,8301.519753553552
43,23825.12626266396
44,8915.877182916027
45,19500.041285028914
46,17517.78738121609
47,7695.351162545108
48,11201.01423891042
49,10808.399529862012
50,20772.562678342594
51,8554.097175832161
52,11279.37642090148
53,9170.546362433864
54,17311.637463732357
55,20479.347918452946
56,20438.972015832012
57,18639.799860277508
58,10095.89973919088
59,9105.541256486546
60,20331.847052676785
61,9170.653208491502
62,6408.944078841651
63,6935.423150466476
64,5830.8145724286205
65,9092.637771277448
66,9792.30409148811
67,17669.65074372908
68,7371.539645729723
69,8584.020300044103
70,9274.988745259252
71,8331.345145414338
72,9354.351131802254
73,8297.947698333954
74,10650.884854626409
75,9722.792056308388
76,8407.135476737636
