,0
1,5434.330508881253
2,9393.80873015873
3,5841.892063492087
4,5809.837513951808
5,8986.247175547875
6,16071.034734268478
7,13415.195147365415
8,17029.266363150757
9,19129.071043792203
10,6172.538095238109
11,19463.311706210156
12,8633.14789194771
13,16460.770328824816
14,6217.399068562649
15,8440.100898368579
16,12735.536734162175
17,12457.554819069777
18,15335.276926961766
19,12950.051295193893
20,12677.192857142763
21,6921.5035238758255
22,8302.543480193986
23,16988.057984821888
24,7135.6996031745675
25,23035.967608212446
26,23877.451343508037
27,17679.468253968225
28,22650.471787265462
29,11123.982065440807
30,7784.500000000022
31,6896.529061702388
32,17969.305905269233
33,7003.1408267630495
34,9726.903154654594
35,12049.401963872471
36,8288.039853139147
37,14403.44236958763
38,14422.54821247081
39,11517.906655301933
40,9555.832746044176
41,9098.403551479989
42,7896.629535386927
43,22857.400390691026
44,8949.848167238668
45,19010.07445436504
46,17860.349795667375
47,8522.499999999942
48,11397.366212676181
49,11321.4864747308
50,16803.778112827775
51,7755.833333333297
52,11450.060892259116
53,9768.455766140201
54,15115.638888888874
55,17168.544362340683
56,19348.91025568515
57,18640.054637149842
58,9868.363517001802
59,8717.76249638415
60,19394.038467125072
61,8447.650430030928
62,6012.540600944919
63,7548.482142857129
64,6215.913888888925
65,8777.211435264519
66,10241.533213905757
67,18188.74283206656
68,7020.124999999983
69,8939.58217597647
70,9411.41608487131
71,7874.114511017824
72,9373.822719125092
73,8609.19775031624
74,11437.012498185168
75,10282.535761137655
76,8549.089360200971
