,link_id,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,actual_tt
0,1,1,2,25900,6,6,0.15,4,0,0,1,2.0005844965618467
1,2,1,3,23403,4,4,0.15,4,0,0,1,1.3368717286084637
2,3,2,1,25900,6,6,0.15,4,0,0,1,2.0003709039984257
3,4,2,6,4958,5,5,0.15,4,0,0,1,2.3144667531636323
4,5,3,1,23403,4,4,0.15,4,0,0,1,1.3379458221056697
5,6,3,4,17111,4,4,0.15,4,0,0,1,1.4681069771512723
6,7,3,12,23403,4,4,0.15,4,0,0,1,1.3582146456295332
7,8,4,3,17111,4,4,0.15,4,0,0,1,1.5416198813058593
8,9,4,5,17783,2,2,0.15,4,0,0,1,0.7971166664208587
9,10,4,11,4909,6,6,0.15,4,0,0,1,2.5299821730613186
10,11,5,4,17783,2,2,0.15,4,0,0,1,0.8069089114813282
11,12,5,6,4948,4,4,0.15,4,0,0,1,3.3877295855760012
12,13,5,9,10000,5,5,0.15,4,0,0,1,3.6641875845389897
13,14,6,2,4958,5,5,0.15,4,0,0,1,2.1051234633115894
14,15,6,5,4948,4,4,0.15,4,0,0,1,2.295101454713528
15,16,6,8,4899,2,2,0.15,4,0,0,1,5.105249284619021
16,17,7,8,7842,3,3,0.15,4,0,0,1,1.971378444352411
17,18,7,18,23403,2,2,0.15,4,0,0,1,0.686923644240504
18,19,8,6,4899,2,2,0.15,4,0,0,1,9.800489333357662
19,20,8,7,7842,3,3,0.15,4,0,0,1,2.1176430908125505
20,21,8,9,5050,10,10,0.15,4,0,0,1,5.992437251594939
21,22,8,16,5046,5,5,0.15,4,0,0,1,3.88847108858376
22,23,9,5,10000,5,5,0.15,4,0,0,1,4.717647252103694
23,24,9,8,5050,10,10,0.15,4,0,0,1,4.961547732416076
24,25,9,10,13916,3,3,0.15,4,0,0,1,2.0788879598205003
25,26,10,9,13916,3,3,0.15,4,0,0,1,2.301218826132505
26,27,10,11,10000,5,5,0.15,4,0,0,1,4.441443166060825
27,28,10,15,13512,6,6,0.15,4,0,0,1,4.511218775990725
28,29,10,16,4855,4,4,0.15,4,0,0,1,7.006366043354807
29,30,10,17,4994,8,8,0.15,4,0,0,1,4.961240228695413
30,31,11,4,4909,6,6,0.15,4,0,0,1,3.3843558683958834
31,32,11,10,10000,5,5,0.15,4,0,0,1,4.2205652929687245
32,33,11,12,4909,6,6,0.15,4,0,0,1,3.38097419940598
33,34,11,14,4877,4,4,0.15,4,0,0,1,4.600387705019679
34,35,12,3,23403,4,4,0.15,4,0,0,1,1.350685134755204
35,36,12,11,4909,6,6,0.15,4,0,0,1,4.770523508380535
36,37,12,13,25900,3,3,0.15,4,0,0,1,1.0138383497069987
37,38,13,12,25900,3,3,0.15,4,0,0,1,1.0149134977998657
38,39,13,24,5091,4,4,0.15,4,0,0,1,6.597225830243517
39,40,14,11,4877,4,4,0.15,4,0,0,1,4.460949187413223
40,41,14,15,5128,5,5,0.15,4,0,0,1,4.131089253122964
41,42,14,23,4925,4,4,0.15,4,0,0,1,2.7109661040698256
42,43,15,10,13512,6,6,0.15,4,0,0,1,4.643786117996732
43,44,15,14,5128,5,5,0.15,4,0,0,1,4.015668812705442
44,45,15,19,14565,3,3,0.15,4,0,0,1,1.463992803013907
45,46,15,22,9599,3,3,0.15,4,0,0,1,2.692876809771996
46,47,16,8,5046,5,5,0.15,4,0,0,1,3.190148360603641
47,48,16,10,4855,4,4,0.15,4,0,0,1,8.270704224166174
48,49,16,17,5230,2,2,0.15,4,0,0,1,3.0605600646371363
49,50,16,18,19680,3,3,0.15,4,0,0,1,1.085556207653335
50,51,17,10,4994,8,8,0.15,4,0,0,1,5.603777997098723
51,52,17,16,5230,2,2,0.15,4,0,0,1,2.9108032357780105
52,53,17,19,4824,2,2,0.15,4,0,0,1,2.3186129235889004
53,54,18,7,23403,2,2,0.15,4,0,0,1,0.6847160534508663
54,55,18,16,19680,3,3,0.15,4,0,0,1,1.085137715726309
55,56,18,20,23403,4,4,0.15,4,0,0,1,1.42555759132969
56,57,19,15,14565,3,3,0.15,4,0,0,1,1.430119792890807
57,58,19,17,4824,2,2,0.15,4,0,0,1,2.537073108848158
58,59,19,20,5003,4,4,0.15,4,0,0,1,3.1033680742363865
59,60,20,18,23403,4,4,0.15,4,0,0,1,1.415173857310563
60,61,20,19,5003,4,4,0.15,4,0,0,1,3.0579452415461805
61,62,20,21,5060,6,6,0.15,4,0,0,1,2.5459069141892163
62,63,20,22,5076,5,5,0.15,4,0,0,1,3.2911579211210022
63,64,21,20,5060,6,6,0.15,4,0,0,1,2.6984301438039084
64,65,21,22,5230,2,2,0.15,4,0,0,1,1.384654680830775
65,66,21,24,4885,3,3,0.15,4,0,0,1,3.91276485257706
66,67,22,15,9599,3,3,0.15,4,0,0,1,2.8735789778552827
67,68,22,20,5076,5,5,0.15,4,0,0,1,2.5747770054083547
68,69,22,21,5230,2,2,0.15,4,0,0,1,1.5260637855534742
69,70,22,23,5000,4,4,0.15,4,0,0,1,4.1581193931819564
70,71,23,14,4925,4,4,0.15,4,0,0,1,2.7123319933173655
71,72,23,22,5000,4,4,0.15,4,0,0,1,3.876350318416837
72,73,23,24,5079,2,2,0.15,4,0,0,1,1.4050376732229357
73,74,24,13,5091,4,4,0.15,4,0,0,1,6.913658370850612
74,75,24,21,4885,3,3,0.15,4,0,0,1,3.889911412042013
75,76,24,23,5079,2,2,0.15,4,0,0,1,1.3209285730984601
